Mission ID,Launch_Year,Launch_Month,Launch_Day,Country,Agency,Rocket,Launch_Site,Payload_kg,Launch_Cost_USD,Fuel_Used_Tons,Mission_Duration_Days,Delay_Days,Crew_Size,Weather,Orbit_Type,Satellite_Type,Mission_Status,Failure_Reason,Revenue_USD
1833,2015,8,18,USA,SpaceX,GSLV Mk III,Guiana Space Centre,17711,137000000,701,326,14,0,Rain,Polar,Navigation,Success,No Failure,322000000
1834,2012,3,1,USA,NASA,Falcon 9,Kennedy Space Center,14394,244000000,950,314,7,2,Rain,Sun-Synchronous,Weather,Success,No Failure,279000000
1835,2004,9,20,France,CNSA,Long March 5,Baikonur Cosmodrome,28887,170000000,216,198,13,1,Storm,Polar,Weather,Success,No Failure,207000000
1836,2012,8,24,Russia,SpaceX,Falcon 9,Tanegashima Space Center,10717,186000000,192,209,9,4,Storm,GEO,Weather,Success,No Failure,260000000
1837,2016,9,19,China,Roscosmos,Falcon 9,Kennedy Space Center,47988,114000000,542,266,11,1,Clear,GEO,Military,Failure,Fuel Leak,136000000
1838,2017,12,5,China,Roscosmos,Ariane 6,Guiana Space Centre,39524,279000000,121,258,0,3,Clear,MEO,Communication,Success,No Failure,387000000
1839,2007,1,25,USA,ISRO,Long March 5,Guiana Space Centre,12056,444000000,393,257,8,7,Rain,LEO,Navigation,Success,No Failure,573000000
1840,2012,8,24,Russia,JAXA,Soyuz,Guiana Space Centre,12068,278000000,548,336,6,4,Rain,GEO,Weather,Success,No Failure,373000000
1841,2018,9,8,France,Roscosmos,Starship,Satish Dhawan Space Centre,27414,456000000,196,346,6,2,Rain,MEO,Navigation,Success,No Failure,638000000
1842,2025,3,28,USA,Roscosmos,Soyuz,Satish Dhawan Space Centre,26204,139000000,662,233,7,0,Rain,LEO,Navigation,Success,No Failure,151000000
1843,2002,6,28,Japan,CNSA,Falcon 9,Guiana Space Centre,22966,93000000,550,204,13,2,Rain,MEO,Navigation,Success,No Failure,152000000
1844,2023,4,28,UAE,CNSA,Falcon 9,Jiuquan Satellite Launch Center,8982,381000000,387,73,7,5,Storm,GEO,Scientific,Failure,Weather,475000000
1845,2007,4,7,China,JAXA,Soyuz,Baikonur Cosmodrome,20432,115000000,134,13,12,2,Storm,LEO,Weather,Success,No Failure,253000000
1846,2001,6,25,UAE,ESA,Starship,Satish Dhawan Space Centre,8188,311000000,866,71,0,2,Storm,GEO,Weather,Success,No Failure,419000000
1847,2007,5,26,India,JAXA,Starship,Tanegashima Space Center,559,196000000,940,1,3,4,Storm,Polar,Weather,Failure,Software Bug,257000000
1848,2012,8,27,USA,ESA,Ariane 6,Satish Dhawan Space Centre,38699,46000000,856,159,12,4,Rain,LEO,Communication,Failure,Navigation Error,221000000
1849,2012,7,21,Japan,CNSA,GSLV Mk III,Tanegashima Space Center,29277,328000000,895,216,12,3,Storm,MEO,Military,Success,No Failure,347000000
1850,2000,11,16,China,ESA,Falcon Heavy,Satish Dhawan Space Centre,19554,324000000,192,195,10,5,Rain,Polar,Military,Success,No Failure,421000000
1851,2005,12,11,UAE,CNSA,Falcon 9,Guiana Space Centre,47692,230000000,940,312,8,7,Storm,MEO,Military,Success,No Failure,291000000
1852,2023,12,27,France,ESA,H-IIA,Tanegashima Space Center,3839,377000000,360,4,2,1,Storm,GEO,Military,Success,No Failure,394000000
1853,2018,12,28,Russia,SpaceX,Starship,Baikonur Cosmodrome,19673,276000000,418,253,5,7,Cloudy,GEO,Scientific,Success,No Failure,343000000
1854,2015,8,8,China,CNSA,Long March 5,Satish Dhawan Space Centre,33082,493000000,756,284,3,5,Rain,Polar,Communication,Success,No Failure,679000000
1855,2007,10,6,UAE,JAXA,Ariane 6,Satish Dhawan Space Centre,36922,449000000,745,300,0,6,Rain,Polar,Communication,Success,No Failure,590000000
1856,2000,3,13,Russia,ISRO,Falcon 9,Guiana Space Centre,46455,337000000,862,30,2,2,Storm,LEO,Scientific,Success,No Failure,380000000
1857,2015,12,11,UAE,ISRO,Falcon Heavy,Tanegashima Space Center,27568,224000000,490,292,2,7,Clear,MEO,Weather,Success,No Failure,393000000
1858,2008,11,28,Russia,CNSA,Long March 5,Jiuquan Satellite Launch Center,38816,374000000,116,106,14,3,Rain,Sun-Synchronous,Scientific,Success,No Failure,408000000
1859,2012,5,15,France,Roscosmos,Falcon 9,Guiana Space Centre,21986,85000000,783,122,12,3,Storm,GEO,Military,Success,No Failure,253000000
1860,2010,11,1,France,ISRO,Ariane 6,Tanegashima Space Center,31141,169000000,823,196,2,4,Rain,Sun-Synchronous,Communication,Success,No Failure,316000000
1861,2012,5,4,USA,JAXA,Ariane 6,Satish Dhawan Space Centre,19546,186000000,887,203,10,1,Rain,Sun-Synchronous,Scientific,Success,No Failure,358000000
1862,2024,2,20,USA,Roscosmos,Starship,Satish Dhawan Space Centre,17085,239000000,976,260,5,3,Clear,Polar,Military,Success,No Failure,416000000
1863,2020,5,17,China,ISRO,GSLV Mk III,Satish Dhawan Space Centre,7587,319000000,583,267,8,0,Clear,MEO,Military,Success,No Failure,516000000
1864,2009,6,8,France,NASA,Soyuz,Satish Dhawan Space Centre,46602,277000000,390,241,6,3,Cloudy,Sun-Synchronous,Navigation,Failure,Engine Failure,406000000
1865,2003,7,24,Japan,NASA,H-IIA,Kennedy Space Center,41930,222000000,727,53,6,4,Clear,MEO,Weather,Success,No Failure,331000000
1866,2005,5,7,UAE,CNSA,Ariane 6,Satish Dhawan Space Centre,41211,259000000,151,124,0,7,Storm,Polar,Weather,Success,No Failure,399000000
1867,2006,9,18,UAE,JAXA,Long March 5,Satish Dhawan Space Centre,36624,334000000,363,88,12,2,Clear,Sun-Synchronous,Weather,Success,No Failure,458000000
1868,2004,5,23,UAE,JAXA,Soyuz,Jiuquan Satellite Launch Center,28830,248000000,974,310,14,4,Cloudy,Sun-Synchronous,Communication,Failure,Engine Failure,383000000
1869,2010,2,3,China,ISRO,Starship,Jiuquan Satellite Launch Center,43816,493000000,159,244,8,6,Storm,GEO,Communication,Success,No Failure,505000000
1870,2012,8,16,UAE,SpaceX,H-IIA,Tanegashima Space Center,37241,175000000,956,340,3,4,Clear,Sun-Synchronous,Communication,Failure,Navigation Error,248000000
1871,2025,7,12,India,Roscosmos,Starship,Satish Dhawan Space Centre,13520,237000000,481,45,12,1,Cloudy,LEO,Communication,Success,No Failure,422000000
1872,2024,8,26,Russia,ISRO,H-IIA,Satish Dhawan Space Centre,44043,484000000,391,64,7,5,Cloudy,Polar,Military,Success,No Failure,616000000
1873,2018,8,11,UAE,CNSA,H-IIA,Tanegashima Space Center,4971,214000000,877,186,11,0,Clear,LEO,Weather,Success,No Failure,404000000
1874,2022,5,28,Russia,Roscosmos,Long March 5,Satish Dhawan Space Centre,27622,289000000,228,13,0,7,Clear,Sun-Synchronous,Communication,Success,No Failure,434000000
1875,2009,2,6,USA,ESA,Falcon Heavy,Satish Dhawan Space Centre,3623,35000000,728,209,7,0,Cloudy,Sun-Synchronous,Weather,Failure,Weather,219000000
1876,2009,5,5,UAE,CNSA,H-IIA,Guiana Space Centre,11833,260000000,183,52,8,5,Storm,LEO,Military,Success,No Failure,330000000
1877,2010,3,25,Japan,ISRO,Ariane 6,Kennedy Space Center,39271,271000000,79,338,4,1,Storm,GEO,Communication,Failure,Navigation Error,396000000
1878,2020,9,10,France,SpaceX,Long March 5,Tanegashima Space Center,4290,70000000,924,107,6,6,Storm,GEO,Navigation,Success,No Failure,106000000
1879,2006,5,1,France,ESA,Falcon 9,Guiana Space Centre,32536,375000000,522,9,10,1,Cloudy,LEO,Scientific,Success,No Failure,457000000
1880,2017,7,21,USA,CNSA,Falcon Heavy,Jiuquan Satellite Launch Center,39789,47000000,434,112,9,3,Cloudy,LEO,Communication,Success,No Failure,76000000
1881,2003,4,15,India,ISRO,H-IIA,Baikonur Cosmodrome,36378,495000000,647,120,1,6,Storm,Polar,Communication,Success,No Failure,604000000
1882,2001,10,11,China,NASA,Soyuz,Baikonur Cosmodrome,25423,72000000,58,67,0,5,Cloudy,GEO,Navigation,Success,No Failure,219000000
1883,2013,12,25,China,JAXA,Falcon 9,Jiuquan Satellite Launch Center,2101,327000000,990,82,11,0,Clear,MEO,Military,Success,No Failure,364000000
1884,2012,6,1,Japan,ISRO,Falcon Heavy,Kennedy Space Center,12288,135000000,185,202,12,4,Rain,Sun-Synchronous,Scientific,Success,No Failure,324000000
1885,2011,12,14,USA,NASA,Soyuz,Baikonur Cosmodrome,21807,428000000,339,185,10,5,Cloudy,Sun-Synchronous,Military,Success,No Failure,567000000
1886,2006,4,11,USA,NASA,Falcon 9,Kennedy Space Center,27629,460000000,697,357,5,3,Clear,LEO,Navigation,Failure,Navigation Error,635000000
1887,2001,6,26,India,CNSA,GSLV Mk III,Baikonur Cosmodrome,13212,28000000,701,157,8,0,Storm,MEO,Communication,Success,No Failure,166000000
1888,2012,4,7,UAE,ISRO,Ariane 6,Baikonur Cosmodrome,22803,30000000,92,116,11,6,Storm,GEO,Scientific,Success,No Failure,210000000
1889,2013,2,26,China,JAXA,Long March 5,Guiana Space Centre,47015,126000000,154,114,0,7,Cloudy,GEO,Military,Success,No Failure,321000000
1890,2016,9,4,UAE,ISRO,Long March 5,Baikonur Cosmodrome,16504,320000000,873,133,13,6,Rain,GEO,Communication,Success,No Failure,460000000
1891,2008,8,14,USA,NASA,Long March 5,Jiuquan Satellite Launch Center,20662,360000000,80,248,9,6,Clear,LEO,Weather,Success,No Failure,438000000
1892,2016,4,28,UAE,Roscosmos,H-IIA,Kennedy Space Center,41781,277000000,731,111,0,5,Clear,LEO,Navigation,Success,No Failure,404000000
1893,2007,6,27,France,ESA,GSLV Mk III,Satish Dhawan Space Centre,28737,201000000,722,232,3,2,Storm,Sun-Synchronous,Military,Success,No Failure,218000000
1894,2001,6,27,Japan,SpaceX,Ariane 6,Satish Dhawan Space Centre,10989,437000000,836,59,9,4,Rain,Sun-Synchronous,Weather,Failure,Engine Failure,590000000
1895,2023,3,8,China,ISRO,Falcon Heavy,Satish Dhawan Space Centre,17063,189000000,814,291,5,7,Storm,GEO,Military,Success,No Failure,274000000
1896,2012,5,23,India,ESA,Ariane 6,Kennedy Space Center,20849,480000000,268,261,13,6,Rain,Sun-Synchronous,Military,Success,No Failure,631000000
1897,2002,4,28,Japan,ESA,Starship,Kennedy Space Center,46559,344000000,162,50,14,5,Clear,Sun-Synchronous,Weather,Success,No Failure,479000000
1898,2015,12,8,Russia,Roscosmos,Falcon 9,Satish Dhawan Space Centre,28643,158000000,781,316,8,6,Storm,GEO,Navigation,Success,No Failure,200000000
1899,2005,7,22,France,ESA,Falcon Heavy,Jiuquan Satellite Launch Center,49305,304000000,744,271,1,4,Storm,LEO,Navigation,Success,No Failure,356000000
1900,2018,5,18,India,ISRO,Starship,Baikonur Cosmodrome,16185,130000000,309,364,13,3,Storm,Sun-Synchronous,Weather,Success,No Failure,181000000
1901,2006,6,10,Japan,CNSA,Long March 5,Satish Dhawan Space Centre,27109,111000000,61,103,4,0,Rain,LEO,Navigation,Success,No Failure,166000000
1902,2009,2,4,USA,CNSA,Long March 5,Tanegashima Space Center,42197,239000000,520,152,6,1,Clear,MEO,Scientific,Success,No Failure,423000000
1903,2008,5,7,Russia,ESA,Long March 5,Kennedy Space Center,36987,24000000,389,21,11,2,Rain,LEO,Scientific,Success,No Failure,144000000
1904,2001,9,16,India,ISRO,Starship,Tanegashima Space Center,49706,39000000,921,258,3,4,Storm,Polar,Communication,Success,No Failure,136000000
1905,2014,8,27,USA,ISRO,Falcon 9,Tanegashima Space Center,11617,120000000,973,211,12,1,Cloudy,Polar,Weather,Success,No Failure,131000000
1906,2004,3,25,France,NASA,Falcon 9,Kennedy Space Center,23541,314000000,295,82,5,1,Cloudy,GEO,Scientific,Success,No Failure,425000000
1907,2021,4,7,Russia,Roscosmos,Starship,Satish Dhawan Space Centre,26509,477000000,299,10,5,1,Clear,Polar,Military,Success,No Failure,556000000
1908,2003,10,25,China,JAXA,Soyuz,Jiuquan Satellite Launch Center,45102,435000000,619,165,3,1,Clear,MEO,Navigation,Success,No Failure,477000000
1909,2019,4,13,USA,SpaceX,Long March 5,Guiana Space Centre,20178,176000000,558,151,3,3,Clear,LEO,Scientific,Success,No Failure,244000000
1910,2003,7,26,Japan,JAXA,Falcon Heavy,Tanegashima Space Center,37123,469000000,353,173,8,5,Cloudy,LEO,Scientific,Success,No Failure,650000000
1911,2017,7,3,UAE,NASA,Falcon 9,Satish Dhawan Space Centre,13869,402000000,937,65,10,5,Cloudy,Sun-Synchronous,Weather,Success,No Failure,499000000
1912,2003,8,24,India,SpaceX,Ariane 6,Guiana Space Centre,36019,20000000,941,250,0,4,Storm,Sun-Synchronous,Military,Success,No Failure,185000000
1913,2016,1,18,Russia,JAXA,Starship,Tanegashima Space Center,28709,231000000,562,317,12,6,Clear,Sun-Synchronous,Scientific,Success,No Failure,416000000
1914,2011,12,9,USA,ISRO,H-IIA,Satish Dhawan Space Centre,33992,138000000,410,118,4,1,Rain,LEO,Military,Success,No Failure,260000000
1915,2021,3,19,China,CNSA,Soyuz,Tanegashima Space Center,42713,404000000,764,134,10,6,Clear,LEO,Navigation,Success,No Failure,599000000
1916,2016,9,4,UAE,NASA,GSLV Mk III,Satish Dhawan Space Centre,9869,279000000,93,18,8,7,Clear,Sun-Synchronous,Navigation,Success,No Failure,434000000
1917,2009,4,25,India,JAXA,H-IIA,Jiuquan Satellite Launch Center,42756,418000000,368,347,8,1,Storm,LEO,Navigation,Success,No Failure,516000000
1918,2021,6,8,India,ESA,H-IIA,Baikonur Cosmodrome,41317,194000000,656,255,8,0,Storm,MEO,Communication,Success,No Failure,368000000
1919,2000,5,17,USA,ESA,Starship,Baikonur Cosmodrome,13857,433000000,538,168,1,4,Clear,Sun-Synchronous,Weather,Failure,Engine Failure,471000000
1920,2021,3,15,China,SpaceX,Ariane 6,Kennedy Space Center,49501,153000000,343,17,6,6,Storm,Polar,Navigation,Success,No Failure,342000000
1921,2025,9,3,France,ISRO,Soyuz,Guiana Space Centre,25970,121000000,558,10,13,7,Rain,Sun-Synchronous,Communication,Failure,Engine Failure,191000000
1922,2023,2,6,UAE,CNSA,GSLV Mk III,Tanegashima Space Center,19383,404000000,570,230,9,7,Cloudy,Polar,Communication,Success,No Failure,529000000
1923,2017,5,22,France,SpaceX,Soyuz,Tanegashima Space Center,1829,474000000,823,31,7,5,Rain,GEO,Weather,Success,No Failure,560000000
1924,2017,12,23,Russia,JAXA,Falcon 9,Satish Dhawan Space Centre,27550,81000000,375,215,0,2,Cloudy,Polar,Navigation,Success,No Failure,271000000
1925,2013,1,2,USA,JAXA,H-IIA,Guiana Space Centre,31907,467000000,302,306,1,1,Storm,MEO,Weather,Success,No Failure,589000000
1926,2014,12,17,UAE,CNSA,Starship,Tanegashima Space Center,13038,408000000,357,340,0,3,Cloudy,LEO,Weather,Success,No Failure,494000000
1927,2011,10,14,Russia,JAXA,Ariane 6,Guiana Space Centre,19334,73000000,372,151,12,5,Rain,MEO,Scientific,Success,No Failure,230000000
1928,2003,2,13,France,Roscosmos,GSLV Mk III,Guiana Space Centre,47321,324000000,657,45,8,1,Cloudy,GEO,Weather,Success,No Failure,400000000
1929,2002,5,24,UAE,CNSA,Soyuz,Baikonur Cosmodrome,47803,26000000,916,207,9,1,Rain,MEO,Communication,Success,No Failure,137000000
1930,2019,9,14,India,ESA,H-IIA,Tanegashima Space Center,42629,375000000,961,139,10,5,Cloudy,MEO,Navigation,Success,No Failure,555000000
1931,2011,12,25,Russia,JAXA,GSLV Mk III,Tanegashima Space Center,30246,22000000,691,334,4,1,Storm,GEO,Weather,Success,No Failure,217000000
1932,2006,10,8,China,JAXA,H-IIA,Kennedy Space Center,40325,351000000,85,269,3,4,Clear,MEO,Communication,Success,No Failure,463000000
1933,2010,9,10,Japan,NASA,Falcon Heavy,Guiana Space Centre,12131,398000000,666,214,7,4,Cloudy,GEO,Navigation,Success,No Failure,549000000
1934,2000,2,28,France,NASA,Ariane 6,Satish Dhawan Space Centre,43827,464000000,760,162,2,1,Rain,LEO,Military,Success,No Failure,485000000
1935,2005,7,1,France,NASA,Starship,Baikonur Cosmodrome,4794,354000000,340,357,7,3,Storm,Sun-Synchronous,Communication,Success,No Failure,396000000
1936,2014,9,27,China,CNSA,Falcon 9,Kennedy Space Center,42924,487000000,937,203,2,2,Cloudy,LEO,Military,Success,No Failure,577000000
1937,2014,10,2,UAE,ESA,H-IIA,Baikonur Cosmodrome,46638,444000000,591,10,5,6,Storm,LEO,Military,Success,No Failure,560000000
1938,2018,8,25,UAE,CNSA,GSLV Mk III,Satish Dhawan Space Centre,18614,168000000,990,350,3,7,Clear,LEO,Scientific,Success,No Failure,189000000
1939,2010,6,4,UAE,ISRO,Long March 5,Kennedy Space Center,8649,307000000,991,76,12,0,Rain,MEO,Military,Success,No Failure,361000000
1940,2025,7,16,Russia,ESA,Soyuz,Baikonur Cosmodrome,47746,31000000,654,234,13,2,Clear,LEO,Communication,Success,No Failure,66000000
1941,2022,5,23,USA,ESA,Long March 5,Satish Dhawan Space Centre,34391,123000000,538,233,14,7,Storm,GEO,Weather,Failure,Software Bug,288000000
1942,2025,12,11,India,CNSA,GSLV Mk III,Jiuquan Satellite Launch Center,24077,130000000,285,226,14,5,Clear,GEO,Navigation,Success,No Failure,240000000
1943,2001,5,24,Japan,CNSA,Ariane 6,Kennedy Space Center,32675,282000000,434,217,7,3,Storm,GEO,Scientific,Success,No Failure,431000000
1944,2013,7,21,USA,NASA,Long March 5,Satish Dhawan Space Centre,49916,454000000,410,292,6,5,Clear,GEO,Navigation,Success,No Failure,520000000
1945,2001,2,15,USA,ESA,Soyuz,Kennedy Space Center,48634,192000000,756,4,11,5,Rain,LEO,Communication,Success,No Failure,327000000
1946,2003,12,25,China,NASA,GSLV Mk III,Tanegashima Space Center,18913,114000000,305,149,4,5,Cloudy,Polar,Weather,Success,No Failure,255000000
1947,2016,10,22,Russia,ISRO,Falcon 9,Tanegashima Space Center,40142,340000000,917,189,12,5,Clear,Sun-Synchronous,Military,Success,No Failure,534000000
1948,2002,3,23,France,Roscosmos,Falcon 9,Baikonur Cosmodrome,4266,463000000,408,94,13,3,Rain,Polar,Military,Success,No Failure,482000000
1949,2012,12,1,France,NASA,Starship,Guiana Space Centre,41855,222000000,592,38,14,2,Cloudy,MEO,Communication,Success,No Failure,280000000
1950,2008,8,22,China,CNSA,Falcon 9,Jiuquan Satellite Launch Center,40324,64000000,74,76,12,2,Storm,LEO,Communication,Success,No Failure,118000000
1951,2006,12,26,Russia,JAXA,GSLV Mk III,Guiana Space Centre,26556,53000000,864,295,2,5,Cloudy,Polar,Navigation,Success,No Failure,109000000
1952,2014,1,20,China,SpaceX,Ariane 6,Satish Dhawan Space Centre,8799,230000000,50,89,4,1,Storm,LEO,Navigation,Success,No Failure,342000000
1953,2022,10,10,France,Roscosmos,GSLV Mk III,Kennedy Space Center,36831,414000000,407,310,13,2,Rain,GEO,Navigation,Success,No Failure,579000000
1954,2010,10,13,USA,ISRO,Falcon 9,Tanegashima Space Center,44366,244000000,167,318,3,7,Rain,MEO,Military,Success,No Failure,265000000
1955,2019,2,21,India,JAXA,Falcon Heavy,Guiana Space Centre,8349,436000000,528,275,7,6,Cloudy,Polar,Communication,Success,No Failure,595000000
1956,2001,5,25,UAE,CNSA,GSLV Mk III,Tanegashima Space Center,14271,283000000,726,2,10,5,Cloudy,Sun-Synchronous,Scientific,Failure,Weather,377000000
1957,2014,9,16,Russia,Roscosmos,Starship,Jiuquan Satellite Launch Center,30104,320000000,508,150,4,2,Storm,GEO,Military,Success,No Failure,502000000
1958,2013,1,15,Japan,CNSA,Falcon Heavy,Satish Dhawan Space Centre,6535,475000000,162,94,9,1,Clear,GEO,Scientific,Success,No Failure,499000000
1959,2019,2,5,Japan,NASA,Falcon 9,Jiuquan Satellite Launch Center,15604,245000000,244,313,9,3,Cloudy,MEO,Navigation,Success,No Failure,357000000
1960,2021,10,24,USA,JAXA,Ariane 6,Jiuquan Satellite Launch Center,8459,123000000,701,100,4,4,Clear,GEO,Navigation,Success,No Failure,198000000
1961,2010,6,27,China,CNSA,Soyuz,Satish Dhawan Space Centre,3696,494000000,69,259,1,1,Storm,GEO,Communication,Success,No Failure,681000000
1962,2002,3,17,China,JAXA,GSLV Mk III,Kennedy Space Center,37399,240000000,335,279,8,2,Clear,Polar,Weather,Success,No Failure,328000000
1963,2016,9,19,France,ISRO,Soyuz,Jiuquan Satellite Launch Center,19959,353000000,507,4,14,0,Cloudy,GEO,Weather,Failure,Engine Failure,482000000
1964,2011,3,13,USA,SpaceX,Long March 5,Guiana Space Centre,912,437000000,792,78,5,6,Rain,MEO,Navigation,Success,No Failure,528000000
1965,2023,4,2,France,NASA,Starship,Satish Dhawan Space Centre,28234,320000000,497,198,10,2,Cloudy,LEO,Weather,Success,No Failure,372000000
1966,2020,9,8,France,NASA,Falcon Heavy,Satish Dhawan Space Centre,9174,142000000,640,326,0,6,Clear,MEO,Weather,Success,No Failure,312000000
1967,2014,11,1,Japan,JAXA,H-IIA,Tanegashima Space Center,11651,468000000,689,165,2,0,Cloudy,MEO,Navigation,Success,No Failure,570000000
1968,2015,11,2,France,ISRO,Soyuz,Baikonur Cosmodrome,37115,476000000,134,7,3,1,Cloudy,LEO,Communication,Success,No Failure,650000000
1969,2004,7,9,UAE,ISRO,H-IIA,Jiuquan Satellite Launch Center,9294,455000000,625,1,9,4,Rain,Polar,Military,Success,No Failure,609000000
1970,2019,12,26,France,Roscosmos,Starship,Guiana Space Centre,24858,413000000,323,88,9,4,Clear,Sun-Synchronous,Weather,Success,No Failure,576000000
1971,2005,5,12,Japan,SpaceX,Soyuz,Kennedy Space Center,34349,241000000,849,180,13,0,Clear,Sun-Synchronous,Scientific,Success,No Failure,421000000
1972,2018,8,9,UAE,CNSA,Soyuz,Jiuquan Satellite Launch Center,29343,62000000,452,10,1,7,Clear,MEO,Weather,Success,No Failure,129000000
1973,2024,6,1,China,Roscosmos,Starship,Kennedy Space Center,24546,229000000,302,134,12,3,Clear,Polar,Military,Success,No Failure,247000000
1974,2004,6,8,Russia,CNSA,H-IIA,Tanegashima Space Center,8716,356000000,655,110,10,0,Rain,Polar,Military,Success,No Failure,386000000
1975,2002,4,27,India,CNSA,GSLV Mk III,Jiuquan Satellite Launch Center,8889,473000000,850,125,12,0,Storm,Polar,Military,Success,No Failure,586000000
1976,2000,5,7,France,CNSA,Soyuz,Kennedy Space Center,41882,30000000,711,207,9,5,Storm,Polar,Military,Success,No Failure,104000000
1977,2025,6,20,UAE,Roscosmos,Starship,Jiuquan Satellite Launch Center,18025,235000000,414,301,14,7,Rain,MEO,Scientific,Success,No Failure,317000000
1978,2005,4,23,Russia,NASA,Soyuz,Satish Dhawan Space Centre,10745,183000000,718,140,3,1,Clear,GEO,Communication,Failure,Communication Failure,347000000
1979,2014,1,26,Japan,ISRO,Ariane 6,Jiuquan Satellite Launch Center,18004,244000000,777,103,1,6,Cloudy,Sun-Synchronous,Military,Success,No Failure,289000000
1980,2001,6,28,Russia,NASA,H-IIA,Guiana Space Centre,12859,244000000,309,111,14,6,Clear,Sun-Synchronous,Military,Success,No Failure,440000000
1981,2002,3,10,India,SpaceX,GSLV Mk III,Jiuquan Satellite Launch Center,32148,265000000,483,70,14,2,Storm,LEO,Scientific,Success,No Failure,369000000
1982,2016,3,1,Russia,Roscosmos,Ariane 6,Kennedy Space Center,5027,165000000,661,110,5,7,Cloudy,MEO,Weather,Success,No Failure,348000000
1983,2024,7,15,UAE,SpaceX,Ariane 6,Guiana Space Centre,45935,210000000,171,224,12,6,Storm,Sun-Synchronous,Weather,Success,No Failure,249000000
1984,2023,8,3,Russia,ISRO,Starship,Kennedy Space Center,26869,280000000,693,224,9,7,Clear,MEO,Scientific,Failure,Communication Failure,306000000
1985,2011,12,18,Russia,ISRO,Ariane 6,Baikonur Cosmodrome,7193,306000000,566,219,14,3,Storm,MEO,Weather,Success,No Failure,420000000
1986,2017,7,24,Russia,ESA,Soyuz,Baikonur Cosmodrome,38171,35000000,794,239,8,5,Rain,Polar,Navigation,Success,No Failure,96000000
1987,2014,10,25,USA,SpaceX,H-IIA,Guiana Space Centre,33323,213000000,728,119,0,6,Rain,LEO,Communication,Success,No Failure,336000000
1988,2011,1,21,France,NASA,Falcon 9,Baikonur Cosmodrome,23642,28000000,618,331,4,5,Clear,MEO,Weather,Success,No Failure,212000000
1989,2015,8,5,Japan,JAXA,GSLV Mk III,Baikonur Cosmodrome,13914,21000000,592,214,8,6,Cloudy,Sun-Synchronous,Scientific,Success,No Failure,122000000
1990,2007,2,21,India,SpaceX,Soyuz,Satish Dhawan Space Centre,35531,312000000,568,36,10,0,Cloudy,Sun-Synchronous,Navigation,Failure,Navigation Error,409000000
1991,2013,7,17,Japan,Roscosmos,Falcon Heavy,Kennedy Space Center,28774,103000000,61,343,6,1,Cloudy,LEO,Communication,Success,No Failure,149000000
1992,2024,3,1,USA,ISRO,Starship,Baikonur Cosmodrome,41750,462000000,59,357,13,7,Rain,MEO,Military,Success,No Failure,570000000
1993,2016,6,24,USA,ISRO,Soyuz,Guiana Space Centre,15550,228000000,206,279,10,5,Cloudy,Polar,Weather,Success,No Failure,329000000
1994,2020,4,24,UAE,SpaceX,GSLV Mk III,Satish Dhawan Space Centre,18878,77000000,774,256,5,6,Storm,LEO,Communication,Success,No Failure,228000000
1995,2007,6,18,USA,SpaceX,Ariane 6,Baikonur Cosmodrome,17718,492000000,190,155,6,7,Storm,MEO,Communication,Failure,Navigation Error,537000000
1996,2014,6,3,France,CNSA,GSLV Mk III,Jiuquan Satellite Launch Center,38538,358000000,688,271,13,3,Cloudy,LEO,Military,Success,No Failure,530000000
1997,2013,3,2,USA,SpaceX,Falcon Heavy,Guiana Space Centre,14772,125000000,759,42,12,7,Cloudy,Polar,Communication,Success,No Failure,192000000
1998,2017,1,24,Russia,CNSA,Ariane 6,Kennedy Space Center,15026,155000000,976,29,8,6,Rain,GEO,Weather,Success,No Failure,342000000
1999,2019,10,12,Japan,Roscosmos,Falcon Heavy,Jiuquan Satellite Launch Center,15242,327000000,186,183,2,4,Clear,GEO,Navigation,Failure,Fuel Leak,470000000
2000,2006,3,9,China,Roscosmos,Long March 5,Baikonur Cosmodrome,43374,350000000,740,203,7,4,Rain,GEO,Weather,Success,No Failure,549000000
2001,2002,4,9,India,NASA,Long March 5,Guiana Space Centre,44061,480000000,649,49,0,1,Rain,Polar,Scientific,Success,No Failure,551000000
2002,2011,5,22,USA,SpaceX,Soyuz,Jiuquan Satellite Launch Center,34769,96000000,449,327,9,3,Clear,Polar,Communication,Success,No Failure,143000000
2003,2020,12,11,Japan,NASA,Falcon 9,Guiana Space Centre,15795,476000000,492,331,5,2,Storm,LEO,Military,Success,No Failure,600000000
2004,2023,3,26,UAE,JAXA,Ariane 6,Tanegashima Space Center,16053,344000000,491,54,8,1,Clear,Sun-Synchronous,Scientific,Success,No Failure,362000000
2005,2025,12,26,USA,ESA,H-IIA,Jiuquan Satellite Launch Center,44781,229000000,316,222,0,6,Cloudy,Polar,Communication,Success,No Failure,251000000
2006,2002,2,6,France,Roscosmos,GSLV Mk III,Guiana Space Centre,21572,251000000,725,352,4,5,Storm,Polar,Communication,Success,No Failure,340000000
2007,2019,7,9,USA,ISRO,H-IIA,Jiuquan Satellite Launch Center,4636,144000000,810,360,7,5,Storm,GEO,Navigation,Success,No Failure,264000000
2008,2013,8,5,USA,CNSA,Falcon 9,Tanegashima Space Center,15205,199000000,562,37,14,6,Cloudy,GEO,Military,Success,No Failure,321000000
2009,2014,8,26,USA,ESA,Ariane 6,Kennedy Space Center,16903,481000000,326,205,9,2,Clear,GEO,Weather,Success,No Failure,513000000
