brands,processor,ram_gb,Storage_gb,gpu,screen_size,battery_hours,weight_kg,use_cases,processor_score,gpu_scores,price,model
ASUS,M1,64,256,RTX 4060,15.9,9.4,1.4,Programming,3,5,494300.0,ASUS M1 64GB
MSI,M2,8,2028,RTX 3050,15.7,13.5,1.3,Programming,4,3,316100.0,MSI M2 8GB
Dell,M2,4,256,RTX 2050,14.8,12.5,2.1,Office,4,2,208800.0,Dell M2 4GB
Apple,Core i3,12,512,RTX 3050,13.6,13.1,1.9,Programming,1,3,247600.0,Apple Core i3 12GB
Lenovo,Ryzen 5,12,512,GTX 1650,16.6,12.1,2.0,Video Editing,2,1,197700.0,Lenovo Ryzen 5 12GB
ASUS,Ryzen 7,4,512,RTX 3050,14.8,5.1,3.0,Video Editing,3,3,252200.0,ASUS Ryzen 7 4GB
Lenovo,Core i3,64,2028,Integrated,16.6,5.5,2.9,Programming,1,0,341600.0,Lenovo Core i3 64GB
Apple,Core i5,4,1024,GTX 1650,14.3,9.3,2.9,Office,2,1,187600.0,Apple Core i5 4GB
Lenovo,Core i5,8,2028,RTX 2050,13.3,6.5,2.6,Programming,2,2,288100.0,Lenovo Core i5 8GB
HP,Core i3,4,256,Integrated,13.9,8.8,1.8,Programming,1,0,90800.0,HP Core i3 4GB
ASUS,M2,12,2028,GTX 1650,15.2,7.9,1.9,Programming,4,1,245200.0,ASUS M2 12GB
ASUS,Core i5,4,256,RTX 2050,17.1,9.5,2.2,Design,2,2,206900.0,ASUS Core i5 4GB
Apple,M1,64,2028,Integrated,13.7,11.5,2.7,Video Editing,3,0,323500.0,Apple M1 64GB
MSI,M1,32,1024,Integrated,16.7,11.2,1.3,Gaming,3,0,230800.0,MSI M1 32GB
HP,Core i3,4,256,GTX 1650,15.4,9.2,2.0,Gaming,1,1,158700.0,HP Core i3 4GB
Dell,Ryzen 7,64,512,RTX 4060,16.6,12.2,1.3,Design,3,5,468200.0,Dell Ryzen 7 64GB
Lenovo,Ryzen 7,64,512,Integrated,14.5,8.3,2.1,Programming,3,0,261200.0,Lenovo Ryzen 7 64GB
Acer,Core i3,12,2028,Integrated,16.7,13.0,2.8,Design,1,0,174900.0,Acer Core i3 12GB
Lenovo,Ryzen 7,64,512,RTX 2050,16.4,4.7,2.6,Design,3,2,350400.0,Lenovo Ryzen 7 64GB
Lenovo,M2,64,256,RTX 3050,14.2,13.5,1.6,Office,4,3,395100.0,Lenovo M2 64GB
Dell,M2,64,512,GTX 1650,13.8,10.5,3.0,Video Editing,4,1,326200.0,Dell M2 64GB
Lenovo,Ryzen 7,64,1024,GTX 1650,16.8,7.8,2.4,Gaming,3,1,353400.0,Lenovo Ryzen 7 64GB
HP,M1,8,1024,RTX 4060,17.2,6.0,1.2,Programming,3,5,359900.0,HP M1 8GB
HP,Ryzen 7,8,2028,RTX 4060,13.4,8.8,1.7,Gaming,3,5,400000.0,HP Ryzen 7 8GB
ASUS,M2,12,256,GTX 1650,16.2,5.9,1.7,Gaming,4,1,196800.0,ASUS M2 12GB
Apple,Core i7,4,1024,RTX 4060,16.9,5.7,1.3,Video Editing,3,5,341600.0,Apple Core i7 4GB
MSI,Ryzen 5,64,1024,RTX 2050,16.7,10.2,2.9,Gaming,2,2,388900.0,MSI Ryzen 5 64GB
Acer,Core i5,4,256,GTX 1650,17.2,9.2,2.1,Gaming,2,1,177700.0,Acer Core i5 4GB
Lenovo,Core i7,4,512,RTX 4060,16.3,10.7,2.8,Design,3,5,331000.0,Lenovo Core i7 4GB
Lenovo,Ryzen 7,12,512,GTX 1650,15.1,13.3,1.8,Video Editing,3,1,210700.0,Lenovo Ryzen 7 12GB
Dell,M1,64,2028,RTX 3050,14.5,9.3,1.4,Office,3,3,456600.0,Dell M1 64GB
Apple,Core i3,64,512,Integrated,14.6,9.8,2.1,Programming,1,0,264400.0,Apple Core i3 64GB
HP,Ryzen 7,32,256,GTX 1650,16.2,4.9,1.4,Gaming,3,1,246200.0,HP Ryzen 7 32GB
Acer,M1,4,1024,Integrated,16.3,11.2,2.1,Programming,3,0,189400.0,Acer M1 4GB
ASUS,Ryzen 5,4,512,RTX 4060,14.1,8.0,2.9,Office,2,5,330100.0,ASUS Ryzen 5 4GB
HP,Ryzen 7,8,2028,Integrated,16.8,13.8,2.1,Programming,3,0,220000.0,HP Ryzen 7 8GB
Apple,M2,32,512,GTX 1650,16.2,12.2,2.3,Office,4,1,243400.0,Apple M2 32GB
MSI,Core i3,8,256,RTX 3050,15.6,9.2,1.5,Design,1,3,231400.0,MSI Core i3 8GB
ASUS,M1,8,2028,RTX 4060,15.2,5.2,1.3,Gaming,3,5,408200.0,ASUS M1 8GB
MSI,M1,8,512,GTX 1650,15.5,12.6,1.4,Office,3,1,190800.0,MSI M1 8GB
Dell,M1,12,2028,RTX 4060,13.9,12.0,2.3,Programming,3,5,406500.0,Dell M1 12GB
Dell,Ryzen 5,12,256,RTX 2050,14.1,5.8,1.4,Gaming,2,2,228000.0,Dell Ryzen 5 12GB
Lenovo,Ryzen 7,8,1024,Integrated,13.7,7.0,1.9,Design,3,0,151200.0,Lenovo Ryzen 7 8GB
MSI,Ryzen 5,32,256,RTX 2050,13.9,11.9,2.2,Gaming,2,2,254400.0,MSI Ryzen 5 32GB
Apple,Core i5,4,256,GTX 1650,15.1,5.9,1.9,Office,2,1,177400.0,Apple Core i5 4GB
Acer,Core i5,32,256,RTX 3050,15.4,13.2,1.5,Design,2,3,328400.0,Acer Core i5 32GB
ASUS,Ryzen 7,64,256,RTX 4060,13.4,8.2,1.7,Programming,3,5,459900.0,ASUS Ryzen 7 64GB
HP,M2,12,1024,Integrated,16.5,4.9,2.9,Design,4,0,208200.0,HP M2 12GB
Apple,Ryzen 5,4,1024,RTX 4060,14.5,12.2,2.4,Design,2,5,346200.0,Apple Ryzen 5 4GB
Apple,Core i3,4,2028,GTX 1650,16.9,7.7,2.1,Video Editing,1,1,236100.0,Apple Core i3 4GB
Dell,M1,64,512,RTX 4060,17.2,9.3,1.2,Design,3,5,489800.0,Dell M1 64GB
MSI,M1,64,1024,Integrated,14.0,5.1,3.0,Design,3,0,309800.0,MSI M1 64GB
Lenovo,Ryzen 7,8,1024,GTX 1650,15.1,4.0,2.4,Gaming,3,1,209300.0,Lenovo Ryzen 7 8GB
Lenovo,M2,12,512,RTX 4060,13.3,10.4,1.8,Programming,4,5,356200.0,Lenovo M2 12GB
ASUS,Core i5,12,1024,RTX 3050,15.7,9.2,2.8,Gaming,2,3,278800.0,ASUS Core i5 12GB
Dell,Core i5,32,256,GTX 1650,15.7,9.9,1.7,Gaming,2,1,208000.0,Dell Core i5 32GB
Apple,M1,8,256,GTX 1650,14.3,11.9,2.2,Office,3,1,189300.0,Apple M1 8GB
Acer,Ryzen 7,8,512,RTX 3050,15.5,10.5,2.3,Gaming,3,3,257800.0,Acer Ryzen 7 8GB
Dell,Ryzen 5,8,2028,RTX 2050,14.2,5.7,1.6,Video Editing,2,2,279000.0,Dell Ryzen 5 8GB
ASUS,Core i5,8,2028,Integrated,13.9,7.6,3.0,Video Editing,2,0,203700.0,ASUS Core i5 8GB
ASUS,Ryzen 5,12,512,RTX 2050,15.9,13.1,2.5,Office,2,2,258600.0,ASUS Ryzen 5 12GB
Dell,M2,12,512,RTX 4060,14.6,11.7,2.2,Programming,4,5,358700.0,Dell M2 12GB
ASUS,Core i5,8,256,RTX 3050,15.7,9.6,1.5,Programming,2,3,247400.0,ASUS Core i5 8GB
